station_id,xu_station_id,distance_km,matched,parameter
384,United States_-73.9343_40.7997,2.50891369435322,False,pm25
385,United States_-74.0088_41.4992,0.0781825206143387,True,pm25
390,Canada_-113.7942_52.2989,0.0,True,pm25
391,United States_-71.4175_41.8295,0.003605883608665435,True,pm25
397,United States_-116.2367_47.5364,68.80012758697649,False,pm25
399,Chile_-71.5929_-35.837,97.5650806300184,False,pm25
407,India_78.4564_17.384,3.8508433602950642,False,pm25
410,United States_-112.1426_33.4838,0.00014479380504242698,True,pm25
414,United Kingdom_-1.3585_54.5167,0.004761115493928976,True,pm25
424,United States_-87.7135_41.7514,0.3670370116981075,True,pm25
426,United States_-78.8197_35.8652,5.638998921746559,False,pm25
428,United States_-123.1414_44.0672,58.813662843329475,False,pm25
435,United States_-106.4898_45.3662,0.005668153812915597,True,pm25
439,Canada_-74.4819_46.035,0.0,True,pm25
442,United States_-112.0662_33.5603,0.009173937819206189,True,pm25
445,United States_-111.968_33.3962,0.011119492665275676,True,pm25
448,United States_-71.0826_42.3295,0.014064847798691068,True,pm25
449,United States_-71.1023_42.7708,0.04081276554584701,True,pm25
452,United States_-71.0561_42.3252,0.0036326025242619246,True,pm25
455,United States_-111.0896_44.657,114.20141537295795,False,pm25
456,Canada_-119.3967_55.1964,0.0,True,pm25
461,United States_-71.413_41.8075,0.17868843792189046,True,pm25
465,United States_-105.3703_45.4403,0.0019160608308399197,True,pm25
466,United States_-71.0121_42.0651,0.04842002112282176,True,pm25
469,United States_-114.1589_46.2436,0.0024835941530420703,True,pm25
472,United States_-70.748_43.0754,0.0035078438790205418,True,pm25
477,Canada_-71.3697_46.7742,0.0036671098388781375,True,pm25
480,United States_-70.9708_42.4746,0.09099393408378809,True,pm25
482,Canada_-72.66_46.0419,0.0,True,pm25
484,United States_-112.5012_46.0026,0.03258538243239544,True,pm25
485,Canada_-72.4333_46.35,0.0,True,pm25
486,United States_-114.1893_48.3637,0.0021735093855582144,True,pm25
490,Canada_-111.39_56.7328,0.0,True,pm25
494,United States_-114.0215_46.8422,55.53528969290751,False,pm25
495,Canada_-113.6111_53.5028,0.0,True,pm25
