location_id,daily_pct_days_filled,hourly_pct_hours_filled,hourly_pct_days_covered,gap_daily_minus_hourly_days
227535,95.02762430939227,23.02025782688766,26.519337016574585,68.50828729281768
3409462,95.02762430939227,23.02025782688766,26.519337016574585,68.50828729281768
270704,94.47513812154696,46.04051565377532,52.48618784530387,41.988950276243095
3409504,92.81767955801105,46.04051565377532,51.93370165745856,40.88397790055249
5642,82.32044198895028,46.04051565377532,53.03867403314917,29.281767955801108
227931,95.02762430939227,69.06077348066299,75.13812154696133,19.889502762430936
270723,94.47513812154696,69.06077348066299,78.45303867403315,16.02209944751381
6125489,100.55248618784532,99.01012891344382,100.0,0.552486187845318
5546,54.69613259668509,45.28084714548803,54.14364640883977,0.552486187845318
6145551,100.55248618784532,99.74677716390423,100.0,0.552486187845318
3024966,100.55248618784532,76.63443830570903,100.0,0.552486187845318
6105800,100.55248618784532,99.42449355432781,100.0,0.552486187845318
4916349,100.55248618784532,96.31675874769797,100.0,0.552486187845318
5728639,100.55248618784532,80.6169429097606,100.0,0.552486187845318
6013125,100.55248618784532,97.26058931860037,100.0,0.552486187845318
4663956,100.55248618784532,99.2633517495396,100.0,0.552486187845318
270703,80.66298342541437,53.913443830570905,80.11049723756905,0.552486187845318
358457,54.69613259668509,7.918968692449356,54.14364640883977,0.552486187845318
2860223,100.55248618784532,99.6316758747698,100.0,0.552486187845318
3409441,80.66298342541437,26.910681399631674,80.11049723756905,0.552486187845318
6254665,67.40331491712708,61.09576427255985,66.85082872928176,0.552486187845318
6254666,67.40331491712708,61.55616942909761,66.85082872928176,0.552486187845318
2586,93.37016574585635,84.59944751381215,92.81767955801105,0.5524861878453038
5404,90.60773480662984,81.56077348066299,90.05524861878453,0.5524861878453038
5408,94.47513812154696,79.8572744014733,93.92265193370166,0.5524861878453038
5541,95.02762430939227,85.68139963167587,94.47513812154696,0.5524861878453038
5542,95.02762430939227,86.80939226519338,94.47513812154696,0.5524861878453038
5544,95.02762430939227,83.67863720073665,94.47513812154696,0.5524861878453038
5548,82.32044198895028,69.31399631675875,81.76795580110497,0.5524861878453038
5551,91.16022099447514,82.78084714548804,90.60773480662984,0.5524861878453038
5559,86.1878453038674,58.21823204419889,85.6353591160221,0.5524861878453038
5565,95.02762430939227,85.2670349907919,94.47513812154696,0.5524861878453038
6401376,10.497237569060774,8.724677716390424,9.94475138121547,0.5524861878453038
5616,95.02762430939227,87.33885819521178,94.47513812154696,0.5524861878453038
